year,count_category,Alcohol specific offences,Mobile phone offences
2009.0,Fines,0.0,37100.0
2009.0,Offences,17324.0,455.0
2010.0,Fines,0.0,334310.0
2010.0,Offences,15757.0,4056.0
2011.0,Fines,56200.0,419838.0
2011.0,Offences,15398.0,5055.0
2012.0,Fines,107600.0,497200.0
2012.0,Offences,13885.0,6178.0
2013.0,Fines,85800.0,530480.0
2013.0,Offences,12420.0,6915.0
2014.0,Fines,133e3,832560.0
2014.0,Offences,10433.0,10607.0
2015.0,Fines,851600.0,1076640.0
2015.0,Offences,13109.0,14133.0
2016.0,Fines,594800.0,824080.0
2016.0,Offences,9259.0,11184.0
